,Date,Link,Rate,Diff,text
0,27/10/23,https://www.cbr.ru/press/pr/?file=27102023_133000key.htm,13.0,1.0,совет директор банк россия октябрь год принимать решение повышать ключевой ставка бп годовой текущий инфляционный давление значительно усиливаться складываться высоко ожидание банк россия устойчивый увеличение внутренний спрос весь превышать возможность расширение производство товар услуга инфляционный ожидание сохраняться повышенный уровень высокий оставаться темп рост кредитование исходить новый среднесрочный параметр бюджетный политика снижение бюджетный стимул близкий год происходить медленно ожидаться ранее условие требоваться обеспечивать дополнительный ужесточение денежнокредитный политика ограничение масштаб отклонение инфляция вверх цель возвращение год возвращение инфляция цель дальнейший стабилизация вблизи также предполагать продолжительный период поддержание жесткий денежнокредитный условие экономика банк россия принимать дальнейший решение ключевой ставка учет фактический ожидать динамика инфляция относительно цель развитие экономика прогнозный горизонт также оценивать риск сторона внутренний внешний условие реакция финансовый рынок согласно обновлять прогноз банк россия итог год годовой инфляция складываться диапазон учет проводить денежнокредитный политика годовой инфляция снижаться год находиться вблизи дальнейший динамика инфляция текущий инфляционный давление значительно усиливаться складываться высоко ожидание банк россия среднее iii квартал рост цена поправка сезонность составлять пересчет год сравнение ii квартал аналогичный показатель базовый инфляция увеличиваться сравнение ii квартал годовой инфляция оценка октябрь повышаться сентябрь рост инфляционный давление проявляться широкий круг товар услуга это означать устойчивый увеличение внутренний спрос весь превышать возможность расширение производство товар услуга условие предприятие легко переносить цена возрастать издержки связанный число ослабление рубль дефицит свободный трудовой ресурс инфляционный ожидание население сохраняться повышенный уровень ценовый ожидание предприятие продолжать расти достигать исторически высокий значение также вновь повышаться инфляционный ожидание профессиональный аналитик год среднесрочный перспектива заякорить вблизи согласно обновлять прогноз банк россия итог год годовой инфляция складываться диапазон учет проводить денежнокредитный политика годовой инфляция снижаться год находиться вблизи дальнейший денежнокредитный условие продолжать ужесточаться вслед повышение ключевой ставка июль сентябрь момент сентябрьский заседание совет директор банк россия вырастать процентный ставка кредитнодепозитный рынок также доходность офз форма кривая офз оставаться плоский указывать умеренный жесткость текущий денежнокредитный условие доходность офз средний длинный участок кривая увеличиваться число результат пересмотр участник рынок проинфляционный риск связывать смягчение среднесрочный параметр бюджетный политика вслед рост депозитный ставка увеличиваться приток средство население кредитный организация число счет возврат часть наличный деньги банковский счет одновременно продолжаться переток средство текущий счет срочный депозит вместе рост номинальный процентный ставка пока разный степень отражаться динамика кредитование замедляться рост необеспеченный потребительский кредитование это связанный меньшой лаг трансмиссия решение денежнокредитный политика сегмент рынок эффект ранее принимать макропруденциальный мера высокий темп продолжать расти ипотечный кредитование число изза большой объем выдача рамка государственный программа льготный кредитование повышенный инфляционный ожидание неизменный уровень номинальный ставка программа становиться привлекательный заемщик высокий оставаться кредитный активность корпоративный сегмент число вследствие ожидание будущий выплата госконтракт принимать банк россия решение ключевой ставка ускорять формирование денежнокредитный условие необходимый сбалансированный рост кредитование обеспечение устойчивый дезинфляционный тенденция экономика это число означать год проинфляционный эффект высокий бюджетный стимул внутренний спрос компенсировать меньший кредитный импульс базовый сценарий банк россия прогнозировать замедление темп прирост требование банковский система экономика год год экономический активность оперативный данные iii квартал свидетельствовать рост экономический активность происходить быстро банк россия ожидать сентябрь условие высокий внутренний спрос нарастать отклонение российский экономика вверх траектория сбалансированный рост это усиливать устойчивый инфляционный давление экономика уверенный рост внутренний спрос происходить счет расширение частный спрос сохранение государственный спрос высокий уровень ожидать дополнительный увеличение бюджетный стимул увеличение потребительский активность поддерживаться рост реальный заработный плата высокий темп кредитование значительный рост прибывать компания позитивный деловой настроение число изза бюджетный стимул поддерживать высокий инвестиционный спрос расширение внутренний спрос проявляться число сохранение повышенный спрос импорт вносить существенный вклад ослабление рубль начало год это оперативный данные внешний торговля указывать импорт стабилизироваться близкий квартал спрос импорт рублевый выражение продолжать подстраиваться принятый решение ключевой ставка помимо внешний санкция импорт ключевой ограничение сторона предложение российский экономика связанный состояние рынок труд согласно данные опрос предприятие дефицит свободный трудовой ресурс продолжать усиливаться безработица вновь обновлять исторический минимум невысокий географический межотраслевой мобильность рабочий сила являться дополнительный структурный ограничение проводить банк россия денежнокредитный политика создавать условие возвращение экономика траектория сбалансированный рост базовый сценарий банк россия прогнозировать темп прирост ввп составлять год год год год инфляционный риска среднесрочный горизонт проинфляционный риск оставаться существенный обновлять базовый сценарий банк россия исходить принятый решение правительство среднесрочный траектория расход федеральный бюджет бюджетный система целое случай дополнительный расширение бюджетный дефицит проинфляционный риск вновь возрастать мочь потребоваться жесткий денежнокредитный политика возвращение инфляция цель год поддержание вблизи дальнейший значимый риск являться сохранение инфляционный ожидание повышенный уровень дальнейший рост случай кредитование продолжать расширяться ускоренный темп склонность население сбережение снижаться следствие рост внутренний спрос продолжать опережать возможность расширение предложение усиливать устойчивый инфляционный давление экономика условие ограниченность свободный трудовой ресурс рост производительность труд мочь сильно отставать рост реальный заработный плата проинфляционный риск связывать влияние геополитический напряженность условие внешний торговля усиление внешний торговый финансовый ограничение мочь дополнительно ослаблять спрос товар российский экспорт иметь проинфляционный влияние динамика валютный курс кроме усложнение производственный логистический цепочка финансовый расчет результат внешний ограничение мочь приводить удорожание импорт значимый краткосрочный проинфляционный эффект мочь также иметь ухудшение перспектива рост мировой экономика дальнейший усиление волатильность мировой финансовый рынок дезинфляционный риск первый очередь связанный быстрый замедление рост внутренний спрос ожидаться базовый сценарий кроме рост цена основной товар российский экспорт увеличение физический объем экспортный поставка мочь приводить крепкий курс рубль возвращение инфляция цель год дальнейший стабилизация вблизи предполагать продолжительный период поддержание жесткий денежнокредитный условие экономика банк россия принимать дальнейший решение ключевой ставка учет фактический ожидать динамика инфляция относительно цель развитие экономика прогнозный горизонт также оценивать риск сторона внутренний внешний условие реакция финансовый рынок итог заседание совет директор ключевой ставка октябрь год банк россия опубликовывать среднесрочный прогноз следовать заседание совет директор банк россия который рассматриваться вопрос уровень ключевой ставка запланировать декабрь год время публикация прессрелиз решение совет директор банк россия московский время заявление председатель банк россия эльвира набиуллина итог заседание совет директор банк россия октябрь год использование материал ссылка прессслужба банк россия обязательный
1,15/09/23,https://www.cbr.ru/press/pr/?file=15092023_133000Key.htm,12.0,0.0,совет директор банк россия сентябрь год принимать решение повышать ключевой ставка бп годовой инфляционный давление российский экономика оставаться высокий реализоваться существенный проинфляционный риск рост внутренний спрос опережать возможность расширение выпуск ослабление рубль летний месяц условие требоваться обеспечивать дополнительный ужесточение денежнокредитный условие ограничение масштаб отклонение инфляция вверх цель возвращение год возвращение инфляция цель дальнейший стабилизация вблизи также предполагать продолжительный период поддержание жесткий денежнокредитный условие экономика банк россия принимать дальнейший решение ключевой ставка учет фактический ожидать динамика инфляция относительно цель процесс структурный перестройка экономика также оценивать риск сторона внутренний внешний условие реакция финансовый рынок банк россия оценивать целесообразность дальнейший повышение ключевой ставка близкий заседание согласно обновлять прогноз банк россия итог год годовой инфляция складываться диапазон учет проводить денежнокредитный политика годовой инфляция вернуться год находиться вблизи дальнейший динамика инфляция оценка сентябрь годовой инфляция увеличиваться июль август текущий инфляционный давление усиливаться число изза перенос цена происходить ослабление рубль среднее последний месяц рост цена поправка сезонность составлять пересчет год аналогичный показатель базовый инфляция увеличиваться рост инфляционный давление проявляться широкий круг товар услуга увеличение внутренний спрос превышать возможность расширение выпуск высокий внутренний спрос являться значимый фактор ослабление рубль повышенный спрос импорт перенос ослабление рубль цена усиливаться повышенный инфляционный ожидание особенно сильно последний месяц увеличиваться ценовый ожидание предприятие вырастать инфляционный ожидание население также повышаться инфляционный ожидание профессиональный аналитик год среднесрочный перспектива заякорить вблизи согласно обновлять прогноз банк россия итог год годовой инфляция складываться диапазон проводить банк россия денежнокредитный политика ограничивать масштаб отклонение инфляция вверх цель учет проводить денежнокредитный политика годовой инфляция вернуться год находиться вблизи дальнейший денежнокредитный условие начинать ужесточаться вслед повышение ключевой ставка июль август происходить повышение процентный ставка кредитнодепозитный рынок рост номинальный процентный ставка пока слабо отражаться объем кредитование это преимущественно связанный лаг влияние денежнокредитный политика экономика инфляция момент внеочередной заседание совет директор банк россия существенно вырастать доходность краткосрочный офз форма кривая офз становиться плоский это указывать умеренный жесткость текущий денежнокредитный условие кредитный активность оставаться высокий корпоративный розничный сегмент это отчасти объясняться выдача банки кредит ранее одобрять условие приток средство население кредитный организация оставаться стабильный это происходить некоторый переток средство текущий счет срочный депозит большой объем действующий государственный программа льготный кредитование особенно ипотечный рынок несколько уменьшать влияние решение ключевой ставка динамика кредитование расти инфляционный ожидание неизменный уровень номинальный ставка программа становиться привлекательный заемщик прочий равный это означать необходимость больший жесткость денежнокредитный политика поддержание ценовый стабильность принимать банк россия решение ключевой ставка ускорять формирование денежнокредитный условие необходимый сбалансированный рост кредитование обеспечение устойчивый дезинфляционный тенденция экономика экономический активность продолжать расти широкий круг отрасль высокий внутренний спрос усиливать отклонение российский экономика вверх траектория сбалансированный рост изза это также сохраняться повышенный спрос импорт высокий спрос импорт снижаться экспорт основной фактор ослабление рубль начало год близкий квартал спрос импорт подстраиваться происходить ослабление рубль принятый решение ключевой ставка уверенный рост внутренний спрос происходить счет расширение частный спрос сохранение государственный спрос высокий уровень увеличение потребительский активность поддерживаться высокий темп кредитование рост реальный заработный плата адаптация население новый структура предложение товарный рынок завершение фаза восстановление российский экономика означать дальнейший рост замедляться изза ограничение сторона предложение это первый очередь касаться состояние рынок труд усиливаться дефицит свободный трудовой ресурс безработица вновь обновлять исторический минимум невысокий географический межотраслевой мобильность рабочий сила являться дополнительный структурный ограничение проводить банк россия денежнокредитный политика создавать условие возвращение экономика траектория сбалансированный рост базовый сценарий банк россия прогнозировать темп прирост ввп составлять год год год год инфляционный риска среднесрочный горизонт проинфляционный риск оставаться существенный значимый риск являться сохранение инфляционный ожидание повышенный уровень дальнейший рост случай кредитование продолжать расширяться ускоренный темп склонность население сбережение снижаться следствие рост внутренний спрос продолжать опережать возможность расширение предложение усиливать устойчивый инфляционный давление экономика условие ограниченность свободный трудовой ресурс рост производительность труд мочь сильно отставать рост реальный заработный плата проинфляционный риск связывать влияние геополитический напряженность условие внешний торговля усиление внешний торговый финансовый ограничение мочь дополнительно ослаблять спрос товар российский экспорт иметь проинфляционный влияние динамика валютный курс кроме усложнение производственный логистический цепочка финансовый расчет результат внешний ограничение мочь приводить удорожание импорт значимый краткосрочный проинфляционный эффект мочь также иметь ухудшение перспектива рост мировой экономика дезинфляционный риск первый очередь связанный быстрый замедление рост внутренний спрос ожидаться базовый сценарий кроме рост цена основной товар российский экспорт увеличение физический объем экспортный поставка мочь приводить крепкий курс рубль базовый сценарий банк россия исходить принятый решение среднесрочный траектория расход федеральный бюджет бюджетный система целое случай дополнительный расширение бюджетный дефицит проинфляционный риск возрастать мочь потребоваться жесткий денежнокредитный политика возвращение инфляция цель год поддержание вблизи дальнейший возвращение инфляция цель год дальнейший стабилизация вблизи предполагать продолжительный период поддержание жесткий денежнокредитный условие экономика банк россия принимать дальнейший решение ключевой ставка учет фактический ожидать динамика инфляция относительно цель процесс структурный перестройка экономика также оценивать риск сторона внутренний внешний условие реакция финансовый рынок банк россия оценивать целесообразность дальнейший повышение ключевой ставка близкий заседание итог заседание совет директор ключевой ставка сентябрь год банк россия опубликовывать среднесрочный прогноз следовать заседание совет директор банк россия который рассматриваться вопрос уровень ключевой ставка запланировать октябрь год время публикация прессрелиз решение совет директор банк россия среднесрочный прогноз московский время заявление председатель банк россия эльвира набиуллина итог заседание совет директор банк россия сентябрь год использование материал ссылка прессслужба банк россия обязательный
2,15/08/23,https://www.cbr.ru/press/pr/?file=15082023_103000Key.htm,12.0,1.0,совет директор банк россия принимать решение повышать ключевой ставка август год бп годовой данный решение принимать цель ограничение риск ценовый стабильность инфляционный давление продолжать усиливаться оценка август показатель годовой инфляция увеличиваться это текущий темп прирост цена продолжать ускоряться среднее последний месяц текущий рост поправка сезонность составлять пересчет год показатель базовый инфляция увеличиваться увеличение внутренний спрос превышать возможность расширение выпуск усиливать устойчивый инфляционный давление оказывать влияние динамика курс рубль повышенный спрос импорт результат усиливаться эффект перенос ослабление рубль цена расти инфляционный ожидание дальнейший сохранение течь темп рост цена достигнутый уровень означать значительный риск отклонение инфляция вверх цель год принимать банк россия решение направлять обеспечение динамика денежнокредитный условие внутренний спрос целое который необходимый возвращение инфляция год стабилизация вблизи дальнейший банк россия принимать дальнейший решение ключевой ставка учет фактический ожидать динамика инфляция относительно цель процесс структурный перестройка экономика также оценивать риск сторона внутренний внешний условие реакция финансовый рынок прогноз банк россия учет проводить денежнокредитный политика годовой инфляция вернуться год следующий заседание совет директор банк россия который рассматриваться вопрос уровень ключевой ставка запланировать сентябрь год время публикация прессрелиз решение совет директор банк россия московский время использование материал ссылка прессслужба банк россия обязательный
3,21/07/23,https://www.cbr.ru/press/pr/?file=21072023_133000Key.htm,7.5,0.0,совет директор банк россия июль год принимать решение повышать ключевой ставка бп годовой текущий темп прирост цена включая широкий набор устойчивый показатель превышать пересчет год продолжать расти увеличение внутренний спрос превышать возможность расширение производство число сила ограниченность свободный трудовой ресурс это усиливать устойчивый инфляционный давление экономика увеличиваться инфляционный ожидание динамика внутренний спрос происходить начало год ослабление рубль существенно усиливать проинфляционный риск проводить банк россия денежнокредитный политика ограничивать масштаб отклонение инфляция вверх цель направлять возвращение инфляция год банк россия принимать дальнейший решение ключевой ставка учет фактический ожидать динамика инфляция относительно цель процесс структурный перестройка экономика также оценивать риск сторона внутренний внешний условие реакция финансовый рынок банк россия допускать возможность дальнейший повышение ключевой ставка близкий заседание стабилизация инфляция вблизи год далее прогноз банк россия учет проводить денежнокредитный политика годовой инфляция составлять год вернуться год динамика инфляция инфляционный давление усиливаться текущий темп прирост цена включая широкий набор устойчивый показатель превышать пересчет год продолжать расти увеличиваться показатель годовой инфляция оценка июль годовой темп прирост потребительский цена возрастать май июнь рост инфляционный давление проявляться широкий круг товар услуга это многое являться отражение устойчивый рост внутренний спрос превышать возможность расширение производство многий отрасль число вследствие ограниченность свободный трудовой ресурс также ускоряться перенос цена происходить начало год ослабление рубль инфляционный ожидание население ценовый ожидание предприятие оставаться повышенный уровень это июль инфляционный ожидание население вырастать инфляционный ожидание профессиональный аналитик год также увеличиваться среднесрочный перспектива заякорить вблизи проводить банк россия денежнокредитный политика ограничивать масштаб отклонение инфляция вверх цель направлять возвращение инфляция год учет проводить денежнокредитный политика годовой инфляция составлять год вернуться год находиться вблизи дальнейший денежнокредитный условие продолжать смягчаться несмотря увеличение номинальный процентный ставка отдельный сегмент финансовый рынок включая рынок офз кредитный активность оставаться высокий корпоративный розничный сегмент ипотечный кредитование ускоряться число счет рыночный сегмент высокий темп последний месяц расти необеспеченный потребительский кредитование экономический активность оценка банк россия восстановительный фаза развитие российский экономика целое завершать дальнейший темп рост экономика постепенно приближаться темп соответствующий траектория сбалансированный рост сохраняться неоднородность тенденция динамика экономический активность отраслевой разрез выпуск большинство сектор экономика ориентированный внутренний спрос достигать превышать докризисный уровень время рост выпуск отрасль ориентировать экспорт текущий этап значительный мера сдерживаться действие внешний торговый финансовый ограничение продолжаться изменение структура совокупный спрос весь значимый вклад динамика вносить внутренний спрос частично замещать внешний спрос уверенный рост внутренний спрос происходить счет рост спрос государственный сектор активизация потребительский спрос это продолжать возрастать вклад бюджетный политика увеличение внутренний спрос число счет расширение государственный инвестиция рост потребительский активность поддерживаться высокий темп кредитование рост реальный заработный плата адаптация население новый структура предложение товарный рынок динамика внутренний спрос способствовать увеличение спрос импорт рост импорт происходить условие снижение экспорт разнонаправленный динамика экспорт импорт являться основной фактор ослабление рубль начало год близкий квартал спрос импорт подстраиваться происходить ослабление рубль дальнейший возможность рост производство российский экономика больший мера ограничивать состояние рынок труд безработица вновь обновлять исторический минимум дефицит рабочий сила особенно сильно проявляться регион происходить значительный рост потребительский деловой активность это невысокий географический межотраслевой мобильность рабочий сила являться дополнительный структурный ограничение учет новый данные динамика экономический активность базовый сценарий банк россия прогнозировать темп прирост ввп составлять год год год год инфляционный риска среднесрочный горизонт проинфляционный риск существенно усиливаться текущий этап основной проинфляционный риск являться нарастать отклонение российский экономика вверх траектория сбалансированный рост это мочь происходить случай сохранение повышенный спрос сторона государственный сектор дальнейший активизация потребительский спрос условие расширение внутренний спрос значить превышать возможность расширение выпуск условие ограниченность свободный трудовой ресурс рост производительность труд мочь сильно отставать рост реальный заработный плата риск также являться высокий незаякорить инфляционный ожидание особенно чувствительный курсовой колебание учет перенос цена происходить начало год ослабление рубль мочь оказываться выраженный ожидаться базовый сценарий значимый проинфляционный риск связывать влияние геополитический напряженность условие внешний торговля усиление внешний торговый финансовый ограничение мочь дополнительно ослаблять спрос товар российский экспорт иметь проинфляционный влияние динамика валютный курс кроме усложнение производственный логистический цепочка финансовый расчет результат внешний ограничение мочь приводить удорожание импорт значимый краткосрочный проинфляционный эффект мочь также иметь ухудшение перспектива рост мировой экономика базовый сценарий банк россия исходить принятый решение среднесрочный траектория расход федеральный бюджет бюджетный система целое случай дополнительный расширение бюджетный дефицит проинфляционный риск возрастать мочь потребоваться жесткий денежнокредитный политика возвращение инфляция цель год поддержание вблизи дальнейший банк россия принимать дальнейший решение ключевой ставка учет фактический ожидать динамика инфляция относительно цель процесс структурный перестройка экономика также оценивать риск сторона внутренний внешний условие реакция финансовый рынок банк россия допускать возможность дальнейший повышение ключевой ставка близкий заседание стабилизация инфляция вблизи год далее итог заседание совет директор ключевой ставка июль год банк россия опубликовывать среднесрочный прогноз следовать заседание совет директор банк россия который рассматриваться вопрос уровень ключевой ставка запланировать сентябрь год время публикация прессрелиз решение совет директор банк россия московский время заявление председатель банк россия эльвира набиуллина итог заседание совет директор банк россия июль год использование материал ссылка прессслужба банк россия обязательный
