,Дата,Ставка
0,08.04.2024,16.0
1,05.04.2024,16.0
2,04.04.2024,16.0
3,03.04.2024,16.0
4,02.04.2024,16.0
5,01.04.2024,16.0
6,29.03.2024,16.0
7,28.03.2024,16.0
8,27.03.2024,16.0
9,26.03.2024,16.0
10,25.03.2024,16.0
11,22.03.2024,16.0
12,21.03.2024,16.0
13,20.03.2024,16.0
14,19.03.2024,16.0
15,18.03.2024,16.0
16,15.03.2024,16.0
17,14.03.2024,16.0
18,13.03.2024,16.0
19,12.03.2024,16.0
20,11.03.2024,16.0
21,07.03.2024,16.0
22,06.03.2024,16.0
23,05.03.2024,16.0
24,04.03.2024,16.0
25,01.03.2024,16.0
26,29.02.2024,16.0
27,28.02.2024,16.0
28,27.02.2024,16.0
29,26.02.2024,16.0
30,22.02.2024,16.0
31,21.02.2024,16.0
32,20.02.2024,16.0
33,19.02.2024,16.0
34,16.02.2024,16.0
35,15.02.2024,16.0
36,14.02.2024,16.0
37,13.02.2024,16.0
38,12.02.2024,16.0
39,09.02.2024,16.0
40,08.02.2024,16.0
41,07.02.2024,16.0
42,06.02.2024,16.0
43,05.02.2024,16.0
44,02.02.2024,16.0
45,01.02.2024,16.0
46,31.01.2024,16.0
47,30.01.2024,16.0
48,29.01.2024,16.0
49,26.01.2024,16.0
50,25.01.2024,16.0
51,24.01.2024,16.0
52,23.01.2024,16.0
53,22.01.2024,16.0
54,19.01.2024,16.0
55,18.01.2024,16.0
56,17.01.2024,16.0
57,16.01.2024,16.0
58,15.01.2024,16.0
59,12.01.2024,16.0
60,11.01.2024,16.0
61,10.01.2024,16.0
62,09.01.2024,16.0
63,08.01.2024,16.0
64,05.01.2024,16.0
65,04.01.2024,16.0
66,03.01.2024,16.0
67,29.12.2023,16.0
68,28.12.2023,16.0
69,27.12.2023,16.0
70,26.12.2023,16.0
71,25.12.2023,16.0
72,22.12.2023,16.0
73,21.12.2023,16.0
74,20.12.2023,16.0
75,19.12.2023,16.0
76,18.12.2023,16.0
77,15.12.2023,15.0
78,14.12.2023,15.0
79,13.12.2023,15.0
80,12.12.2023,15.0
81,11.12.2023,15.0
82,08.12.2023,15.0
83,07.12.2023,15.0
84,06.12.2023,15.0
85,05.12.2023,15.0
86,04.12.2023,15.0
87,01.12.2023,15.0
88,30.11.2023,15.0
89,29.11.2023,15.0
90,28.11.2023,15.0
91,27.11.2023,15.0
92,24.11.2023,15.0
93,23.11.2023,15.0
94,22.11.2023,15.0
95,21.11.2023,15.0
96,20.11.2023,15.0
97,17.11.2023,15.0
98,16.11.2023,15.0
99,15.11.2023,15.0
100,14.11.2023,15.0
101,13.11.2023,15.0
102,10.11.2023,15.0
103,09.11.2023,15.0
104,08.11.2023,15.0
105,07.11.2023,15.0
106,06.11.2023,15.0
